,Year,PC_Trash
0,1992,0.3918848399467773
1,1993,0.36727149701717615
2,1994,0.36440092673542185
3,1995,0.3531529967363405
4,1996,0.36053399319079565
5,1997,0.3468499602611324
6,1998,0.33242459849957284
7,1999,0.32473795746072975
8,2000,0.32042757664760235
9,2001,0.3291553353620834
10,2002,0.3568415344150076
11,2003,0.38175627946433377
12,2004,0.36194640353262386
13,2005,0.35082121786339676
14,2006,0.3458736673555493
15,2007,0.33667775008659595
16,2008,0.32666060096413596
17,2009,0.31940823850110245
18,2010,0.31014354453429405
19,2011,0.32272839558672095
20,2012,0.31060024737764524
21,2013,0.3047113147380787
22,2014,0.30035531441601726
23,2015,0.2957773748057585
24,2016,0.295982245006098
25,2017,0.29749502970772607
26,2018,0.30169129019323304
